inspection_id,vehicle_id,model,plant,component_id,component_type,supplier,inspection_date,fault_code,fault_type,severity,sensor_value,inspection_result,repair_action
INS0021,V0019,MODEL_C,Plant_1,CMP0229,Temperature Sensor,Supplier_B,2026-04-12,TEMP_INV,Invalid Reading,Low,11.55,Fail,Replace or recalibrate sensor
INS0022,V0500,MODEL_C,Plant_3,CMP0265,Temperature Sensor,Supplier_C,2026-08-02,NO_SIG,No Signal,Low,39.73,Fail,Check wiring and connector
INS0023,V0295,MODEL_B,Plant_3,CMP0219,Brake Sensor,Supplier_A,2026-04-12,NO_SIG,No Signal,High,64.85,Fail,Check wiring and connector
INS0024,V0157,MODEL_A,Plant_1,CMP0159,Battery,Supplier_C,2026-02-24,BAT_VOLT,Voltage Drop,Low,27.54,Fail,Check battery voltage
INS0025,V0005,MODEL_C,Plant_1,CMP0112,Brake Sensor,Supplier_C,2026-03-06,SIG_ERR,Signal Error,Low,9999.0,Fail,Inspect sensor connection
INS0026,V0319,MODEL_C,Plant_1,CMP0194,Temperature Sensor,Supplier_B,2026-08-11,TEMP_INV,Invalid Reading,High,95.91,Fail,Replace or recalibrate sensor
INS0027,V0100,MODEL_B,Plant_1,CMP0200,Battery,Supplier_B,2026-04-21,BAT_TEMP,Overheating,High,60.45,Fail,Inspect cooling system
INS0028,V0461,MODEL_B,Plant_1,CMP0081,Brake Sensor,Supplier_C,2026-06-06,CAL_ERR,Calibration Error,Medium,1.72,Fail,Recalibrate sensor
INS0029,V0346,MODEL_A,Plant_2,CMP0281,Battery,Supplier_B,2026-02-24,BAT_CELL,Cell Imbalance,Medium,40.35,Fail,Inspect battery cells
INS0030,V0034,MODEL_C,Plant_1,CMP0044,Brake Sensor,Supplier_C,2026-05-17,NO_SIG,No Signal,Low,48.45,Fail,Check wiring and connector
INS0031,V0389,MODEL_B,Plant_3,CMP0260,Battery,Supplier_A,2026-02-24,BAT_TEMP,Overheating,Medium,74.66,Fail,Inspect cooling system
INS0032,V0445,MODEL_C,Plant_3,CMP0251,Brake Sensor,Supplier_B,2026-03-16,CAL_ERR,Calibration Error,Low,34.03,Fail,Recalibrate sensor
INS0033,V0209,MODEL_A,Plant_2,CMP0076,Battery,Supplier_C,2026-03-24,BAT_CELL,Cell Imbalance,Low,66.22,Fail,Inspect battery cells
INS0034,V0293,MODEL_C,Plant_1,CMP0290,Battery,Supplier_B,2026-04-07,BAT_TEMP,Overheating,Low,66.91,Fail,Inspect cooling system
INS0035,V0235,MODEL_B,Plant_1,CMP0024,Battery,Supplier_B,2026-08-25,BAT_VOLT,Voltage Drop,Low,53.87,Fail,Check battery voltage
INS0036,V0059,MODEL_A,Plant_1,CMP0123,Brake Sensor,Supplier_A,2026-01-24,NO_SIG,No Signal,Medium,67.04,Fail,Check wiring and connector
INS0037,V0124,MODEL_A,Plant_3,CMP0053,Temperature Sensor,Supplier_B,2026-02-12,TEMP_INV,Invalid Reading,High,-3.82,Fail,Replace or recalibrate sensor
INS0038,V0130,MODEL_C,Plant_2,CMP0162,Brake Sensor,Supplier_B,2026-03-17,NO_SIG,No Signal,High,90.92,Fail,Check wiring and connector
INS0039,V0403,MODEL_B,Plant_3,CMP0164,Battery,Supplier_A,2026-01-07,BAT_CELL,Cell Imbalance,Low,39.04,Fail,Inspect battery cells
INS0040,V0497,MODEL_C,Plant_2,CMP0058,Brake Sensor,Supplier_B,2026-01-17,,Calibration Error,Medium,39.86,Fail,Recalibrate sensor
INS0041,V0445,MODEL_C,Plant_2,CMP0183,Brake Sensor,Supplier_A,2026-08-17,NO_SIG,No Signal,High,77.79,Fail,Check wiring and connector
INS0042,V0185,MODEL_A,Plant_2,CMP0046,Brake Sensor,Supplier_A,2026-02-20,NO_SIG,No Signal,Low,20.78,Fail,Check wiring and connector
INS0043,V0200,MODEL_B,Plant_1,CMP0168,Brake Sensor,Supplier_A,2026-03-28,NO_SIG,No Signal,Low,57.44,Fail,Check wiring and connector
INS0044,V0279,MODEL_C,Plant_3,CMP0048,Battery,Supplier_B,2026-03-27,BAT_CELL,Cell Imbalance,Low,38.17,Fail,Inspect battery cells
INS0045,V0138,MODEL_C,Plant_1,CMP0039,Battery,Supplier_A,2026-04-13,BAT_TEMP,Overheating,Low,68.5,Fail,Inspect cooling system
INS0046,V0253,MODEL_B,Plant_1,CMP0052,Battery,Supplier_C,2026-07-22,BAT_TEMP,Overheating,Medium,37.45,Fail,Inspect cooling system
INS0047,V0092,MODEL_A,Plant_1,CMP0164,Temperature Sensor,Supplier_B,2026-06-20,TEMP_INV,Invalid Reading,Low,51.3,Fail,Replace or recalibrate sensor
INS0048,V0151,MODEL_A,Plant_1,CMP0073,Brake Sensor,Supplier_A,2026-08-24,NO_SIG,No Signal,High,51.44,Fail,Check wiring and connector
INS0049,V0412,MODEL_C,Plant_3,CMP0106,Temperature Sensor,Supplier_C,2026-07-30,TEMP_INV,Invalid Reading,High,89.16,Fail,Replace or recalibrate sensor
INS0050,V0127,MODEL_B,Plant_1,CMP0229,Battery,Supplier_B,2026-08-09,BAT_VOLT,Voltage Drop,High,22.91,Fail,Check battery voltage
INS0051,V0233,MODEL_A,Plant_2,CMP0174,Brake Sensor,Supplier_C,2026-08-06,CAL_ERR,Calibration Error,High,54.14,Fail,Recalibrate sensor
INS0052,V0010,MODEL_A,Plant_3,CMP0182,Battery,Supplier_B,2026-04-17,BAT_TEMP,Overheating,High,58.79,Fail,Inspect cooling system
INS0053,V0204,MODEL_C,Plant_2,CMP0089,Temperature Sensor,Supplier_A,2026-03-08,NO_SIG,No Signal,Medium,-2.48,Fail,Check wiring and connector
INS0054,V0163,MODEL_C,Plant_3,CMP0225,Temperature Sensor,Supplier_A,2026-02-15,TEMP_INV,Invalid Reading,High,48.04,Fail,Replace or recalibrate sensor
INS0055,V0352,MODEL_B,Plant_1,CMP0212,Temperature Sensor,Supplier_C,2026-03-22,NO_SIG,No Signal,Medium,11.6,Fail,Check wiring and connector
INS0056,V0141,MODEL_C,Plant_1,CMP0025,Brake Sensor,Supplier_C,2026-08-23,NO_SIG,No Signal,High,90.69,Fail,Check wiring and connector
INS0057,V0393,MODEL_A,Plant_2,CMP0153,Battery,,2026-02-10,BAT_CELL,Cell Imbalance,High,72.65,Fail,Inspect battery cells
INS0058,V0378,MODEL_B,Plant_3,CMP0044,Temperature Sensor,Supplier_B,2026-06-29,NO_SIG,No Signal,High,32.03,Fail,Check wiring and connector
INS0059,V0129,MODEL_B,Plant_1,CMP0292,Battery,Supplier_C,2026-02-15,BAT_CELL,Cell Imbalance,Low,54.27,Fail,Inspect battery cells
INS0060,V0179,MODEL_B,Plant_3,CMP0085,Temperature Sensor,Supplier_A,2026-07-03,TEMP_DRIFT,Signal Drift,High,75.43,Fail,Perform sensor calibration
INS0061,V0322,MODEL_A,Plant_2,CMP0043,Temperature Sensor,Supplier_C,2026-01-24,TEMP_INV,Invalid Reading,Medium,53.38,Fail,Replace or recalibrate sensor
INS0062,V0436,MODEL_A,Plant_2,CMP0222,Battery,Supplier_C,2026-01-21,BAT_CELL,Cell Imbalance,Medium,61.2,Fail,Inspect battery cells
INS0063,V0492,MODEL_A,Plant_1,CMP0221,Brake Sensor,Supplier_A,2026-06-09,CAL_ERR,Calibration Error,Medium,43.81,Fail,Recalibrate sensor
INS0064,V0143,MODEL_A,Plant_2,CMP0287,Temperature Sensor,Supplier_C,2026-06-19,TEMP_DRIFT,Signal Drift,Medium,107.3,Fail,Perform sensor calibration
INS0065,V0322,MODEL_C,Plant_1,CMP0134,Battery,Supplier_A,2026-01-06,BAT_CELL,Cell Imbalance,Low,46.33,Fail,Inspect battery cells
INS0066,V0160,MODEL_C,Plant_2,CMP0229,Battery,Supplier_A,2026-02-21,BAT_VOLT,Voltage Drop,Medium,28.9,Fail,Check battery voltage
INS0067,V0394,MODEL_A,Plant_3,CMP0197,Battery,Supplier_C,2026-08-08,BAT_VOLT,Voltage Drop,Low,49.45,Fail,Check battery voltage
INS0068,V0007,MODEL_C,Plant_2,CMP0070,Battery,Supplier_B,2026-05-26,BAT_TEMP,Overheating,High,21.45,Fail,Inspect cooling system
INS0069,V0258,MODEL_C,Plant_2,CMP0271,Battery,Supplier_C,2026-03-21,BAT_VOLT,Voltage Drop,Medium,54.35,Fail,Check battery voltage
INS0070,V0157,MODEL_C,Plant_2,CMP0174,Brake Sensor,Supplier_A,2026-04-26,SIG_ERR,Signal Error,Medium,44.23,Fail,Inspect sensor connection
INS0071,V0196,MODEL_A,Plant_3,CMP0002,Temperature Sensor,Supplier_C,2026-06-15,NO_SIG,No Signal,Medium,48.92,Fail,Check wiring and connector
INS0072,V0262,MODEL_A,Plant_2,CMP0265,Brake Sensor,Supplier_C,2026-07-09,NO_SIG,No Signal,High,72.23,Fail,Check wiring and connector
INS0073,V0088,MODEL_B,Plant_3,CMP0272,Brake Sensor,Supplier_C,2026-03-20,NO_SIG,No Signal,High,98.76,Fail,Check wiring and connector
INS0074,V0173,MODEL_C,Plant_3,CMP0035,Battery,Supplier_B,2026-04-20,BAT_TEMP,Overheating,Medium,43.35,Fail,Inspect cooling system
INS0075,V0323,MODEL_A,Plant_2,CMP0080,Brake Sensor,Supplier_C,2026-06-16,SIG_ERR,Signal Error,Medium,64.04,Fail,Inspect sensor connection
INS0076,V0418,MODEL_C,Plant_1,CMP0179,Temperature Sensor,Supplier_B,2026-07-16,TEMP_DRIFT,Signal Drift,Low,98.48,Fail,Perform sensor calibration
INS0077,V0078,MODEL_B,Plant_2,CMP0249,Brake Sensor,Supplier_C,2026-05-20,CAL_ERR,Calibration Error,Medium,87.39,Fail,Recalibrate sensor
INS0078,V0217,MODEL_A,Plant_2,CMP0035,Battery,Supplier_B,2026-07-10,BAT_TEMP,Overheating,High,50.62,Fail,Inspect cooling system
INS0079,V0354,MODEL_A,Plant_2,CMP0142,Temperature Sensor,Supplier_B,2026-07-01,TEMP_INV,Invalid Reading,Low,2.98,Fail,Replace or recalibrate sensor
INS0080,V0138,MODEL_A,Plant_1,CMP0268,Temperature Sensor,Supplier_B,2026-03-02,TEMP_INV,Invalid Reading,Medium,53.93,Fail,Replace or recalibrate sensor
INS0081,V0087,MODEL_B,Plant_3,CMP0285,Temperature Sensor,Supplier_B,2026-07-08,TEMP_DRIFT,Signal Drift,Low,51.61,Fail,Perform sensor calibration
INS0082,V0205,MODEL_A,Plant_2,CMP0133,Brake Sensor,Supplier_B,2026-04-11,NO_SIG,No Signal,High,73.98,Fail,Check wiring and connector
INS0083,V0126,MODEL_C,Plant_1,CMP0207,Temperature Sensor,Supplier_B,2026-06-06,NO_SIG,No Signal,High,11.12,Fail,Check wiring and connector
INS0084,V0321,MODEL_C,Plant_1,CMP0297,Brake Sensor,Supplier_B,2026-02-18,SIG_ERR,Signal Error,Low,78.54,Fail,Inspect sensor connection
INS0085,V0270,MODEL_A,Plant_1,CMP0071,Brake Sensor,Supplier_C,2026-03-09,NO_SIG,No Signal,Medium,14.82,Fail,Check wiring and connector
INS0086,V0060,MODEL_C,Plant_1,CMP0157,Temperature Sensor,Supplier_B,2026-04-13,TEMP_DRIFT,Signal Drift,Low,23.37,Fail,Perform sensor calibration
INS0087,V0490,MODEL_A,Plant_1,CMP0029,Battery,Supplier_A,2026-05-07,BAT_TEMP,Overheating,Low,43.82,Fail,Inspect cooling system
INS0088,V0271,MODEL_C,Plant_3,CMP0227,Temperature Sensor,Supplier_A,2026-05-07,TEMP_INV,Invalid Reading,High,75.66,Fail,Replace or recalibrate sensor
INS0089,V0049,MODEL_A,Plant_2,CMP0120,Brake Sensor,Supplier_C,2026-06-27,CAL_ERR,Calibration Error,Low,11.81,Fail,Recalibrate sensor
INS0090,V0420,MODEL_B,Plant_2,CMP0281,Brake Sensor,Supplier_B,2026-03-01,CAL_ERR,Calibration Error,Low,75.06,Fail,Recalibrate sensor
INS0091,V0255,MODEL_C,Plant_1,CMP0110,Temperature Sensor,Supplier_B,2026-03-08,TEMP_INV,Invalid Reading,Medium,43.24,Fail,Replace or recalibrate sensor
INS0092,V0164,MODEL_B,Plant_3,CMP0148,Battery,Supplier_A,2026-08-08,BAT_TEMP,Overheating,Medium,67.85,Fail,Inspect cooling system
INS0093,V0008,MODEL_B,Plant_1,CMP0278,Battery,Supplier_B,2026-02-08,BAT_TEMP,Overheating,Low,65.51,Fail,Inspect cooling system
INS0094,V0334,MODEL_B,Plant_1,CMP0019,Battery,Supplier_C,2026-01-21,BAT_VOLT,Voltage Drop,Medium,35.25,Fail,Check battery voltage
INS0095,V0400,MODEL_A,Plant_2,CMP0047,Temperature Sensor,Supplier_A,2026-01-11,NO_SIG,No Signal,Medium,97.69,Fail,Check wiring and connector
INS0096,V0352,MODEL_A,Plant_3,CMP0230,Battery,Supplier_A,2026-07-10,BAT_VOLT,Voltage Drop,Medium,58.25,Fail,Check battery voltage
INS0097,V0326,MODEL_A,Plant_1,CMP0031,Brake Sensor,Supplier_B,2026-03-08,NO_SIG,No Signal,High,9999.0,Fail,Check wiring and connector
INS0098,V0287,MODEL_C,Plant_3,CMP0032,Temperature Sensor,Supplier_C,2026-06-04,TEMP_INV,Invalid Reading,Critical,28.95,Fail,Replace or recalibrate sensor
INS0099,V0218,MODEL_C,Plant_1,CMP0137,Brake Sensor,Supplier_C,2026-07-02,CAL_ERR,Calibration Error,High,53.81,Fail,Recalibrate sensor
INS0100,V0091,MODEL_A,Plant_1,CMP0031,Temperature Sensor,Supplier_C,2026-01-19,NO_SIG,No Signal,Medium,116.13,Fail,Check wiring and connector
INS0101,V0241,MODEL_C,Plant_2,CMP0051,Battery,Supplier_B,2026-07-28,BAT_TEMP,Overheating,High,25.47,Fail,Inspect cooling system
INS0102,V0066,MODEL_B,Plant_3,CMP0229,Brake Sensor,Supplier_A,2026-04-24,SIG_ERR,Signal Error,High,53.15,Fail,Inspect sensor connection
INS0103,V0044,MODEL_B,Plant_1,CMP0197,Battery,Supplier_C,2026-03-06,,Cell Imbalance,Medium,36.2,Fail,Inspect battery cells
INS0104,V0407,MODEL_B,Plant_1,CMP0156,Battery,Supplier_C,2026-02-03,BAT_VOLT,Voltage Drop,Medium,38.79,Fail,Check battery voltage
INS0105,V0261,MODEL_B,Plant_3,CMP0247,Battery,Supplier_B,2026-08-25,BAT_TEMP,Overheating,Medium,32.32,Fail,Inspect cooling system
INS0106,V0369,MODEL_C,Plant_3,CMP0267,Battery,Supplier_A,2026-05-15,BAT_CELL,Cell Imbalance,High,68.88,Fail,Inspect battery cells
INS0107,V0200,MODEL_C,Plant_2,CMP0050,Temperature Sensor,Supplier_A,2026-02-21,TEMP_DRIFT,Signal Drift,Medium,84.05,Fail,Perform sensor calibration
INS0108,V0418,MODEL_C,Plant_3,CMP0161,Brake Sensor,Supplier_B,2026-01-12,SIG_ERR,Signal Error,Medium,57.49,Fail,Inspect sensor connection
INS0109,V0384,MODEL_C,Plant_3,CMP0005,Brake Sensor,Supplier_B,2026-03-25,CAL_ERR,Calibration Error,High,35.26,Fail,Recalibrate sensor
INS0110,V0402,MODEL_B,Plant_3,CMP0036,Temperature Sensor,Supplier_A,2026-07-06,TEMP_INV,Invalid Reading,Medium,24.4,Fail,Replace or recalibrate sensor
INS0111,V0497,MODEL_B,Plant_1,CMP0297,Brake Sensor,Supplier_B,2026-04-04,CAL_ERR,Calibration Error,High,45.41,Fail,Recalibrate sensor
INS0112,V0402,MODEL_A,Plant_3,CMP0294,Battery,Supplier_A,2026-05-28,BAT_TEMP,Overheating,Medium,51.42,Fail,Inspect cooling system
INS0113,V0190,MODEL_B,Plant_2,CMP0238,Temperature Sensor,Supplier_B,2026-07-24,TEMP_DRIFT,Signal Drift,High,118.68,Fail,Perform sensor calibration
INS0114,V0129,MODEL_C,Plant_1,CMP0289,Temperature Sensor,Supplier_B,2026-01-08,NO_SIG,No Signal,Low,51.06,Fail,Check wiring and connector
INS0115,V0318,MODEL_A,Plant_1,CMP0280,Battery,Supplier_A,2026-08-29,BAT_TEMP,Overheating,High,65.98,Fail,Inspect cooling system
INS0116,V0324,MODEL_C,Plant_3,CMP0041,Temperature Sensor,Supplier_B,2026-03-08,NO_SIG,No Signal,Low,-5.03,Fail,Check wiring and connector
INS0117,V0012,MODEL_C,Plant_2,CMP0250,Battery,Supplier_A,2026-05-11,BAT_CELL,Cell Imbalance,Medium,70.3,Fail,Inspect battery cells
INS0118,V0444,MODEL_A,Plant_2,CMP0232,Temperature Sensor,Supplier_B,2026-06-03,TEMP_INV,Invalid Reading,Medium,104.78,Fail,Replace or recalibrate sensor
INS0119,V0372,MODEL_A,Plant_2,CMP0209,Temperature Sensor,Supplier_B,2026-02-18,NO_SIG,No Signal,Medium,107.77,Fail,Check wiring and connector
INS0120,V0449,MODEL_B,Plant_1,CMP0207,Battery,Supplier_A,2026-04-08,BAT_CELL,Cell Imbalance,High,51.92,Fail,Inspect battery cells
INS0121,V0436,MODEL_B,Plant_1,CMP0098,Temperature Sensor,Supplier_C,2026-01-11,NO_SIG,No Signal,Medium,61.84,Fail,Check wiring and connector
INS0122,V0421,MODEL_B,Plant_3,CMP0162,Brake Sensor,Supplier_C,2026-05-19,NO_SIG,No Signal,Low,64.21,Fail,Check wiring and connector
INS0123,V0211,MODEL_C,Plant_3,CMP0210,Temperature Sensor,Supplier_C,2026-03-14,NO_SIG,No Signal,High,119.13,Fail,Check wiring and connector
INS0124,V0260,MODEL_B,Plant_3,CMP0072,Temperature Sensor,Supplier_C,2026-03-19,NO_SIG,No Signal,Low,23.09,Fail,Check wiring and connector
INS0125,V0339,MODEL_C,Plant_1,CMP0189,Temperature Sensor,Supplier_A,2026-04-19,TEMP_DRIFT,Signal Drift,High,69.13,Fail,Perform sensor calibration
INS0126,V0010,MODEL_A,Plant_1,CMP0003,Brake Sensor,Supplier_B,2026-08-18,CAL_ERR,Calibration Error,High,93.65,Fail,Recalibrate sensor
INS0127,V0326,MODEL_C,Plant_2,CMP0173,Brake Sensor,Supplier_B,2026-07-20,CAL_ERR,Calibration Error,Medium,27.2,Fail,Recalibrate sensor
INS0128,V0076,MODEL_A,Plant_1,CMP0134,Brake Sensor,Supplier_B,2026-02-07,SIG_ERR,Signal Error,Medium,48.37,Fail,Inspect sensor connection
INS0129,V0481,MODEL_C,Plant_2,CMP0216,Brake Sensor,Supplier_A,2026-04-16,NO_SIG,No Signal,Medium,78.62,Fail,Check wiring and connector
INS0130,V0111,MODEL_C,Plant_2,CMP0206,Temperature Sensor,Supplier_B,2026-08-22,TEMP_DRIFT,Signal Drift,Medium,27.03,Fail,Perform sensor calibration
INS0131,V0118,MODEL_C,Plant_1,CMP0053,Temperature Sensor,Supplier_B,2026-02-22,TEMP_INV,Invalid Reading,Low,-10.98,Fail,Replace or recalibrate sensor
INS0132,V0333,MODEL_C,Plant_1,CMP0002,Brake Sensor,Supplier_A,2026-01-26,CAL_ERR,Calibration Error,Medium,77.47,Fail,Recalibrate sensor
INS0133,V0217,MODEL_B,Plant_1,CMP0053,Battery,Supplier_B,2026-02-25,BAT_CELL,Cell Imbalance,High,23.05,Fail,Inspect battery cells
INS0134,V0061,MODEL_B,Plant_3,CMP0143,Temperature Sensor,Supplier_C,2026-06-21,NO_SIG,No Signal,High,38.75,Fail,Check wiring and connector
INS0135,V0045,MODEL_B,Plant_1,CMP0230,Battery,Supplier_B,2026-06-23,BAT_CELL,Cell Imbalance,High,67.19,Fail,Inspect battery cells
INS0136,V0311,MODEL_B,Plant_1,CMP0077,Brake Sensor,Supplier_C,2026-04-11,NO_SIG,No Signal,Low,49.8,Fail,Check wiring and connector
INS0137,V0214,MODEL_C,Plant_3,CMP0148,Brake Sensor,Supplier_C,2026-05-14,NO_SIG,No Signal,Medium,20.12,Fail,Check wiring and connector
INS0138,V0173,MODEL_B,Plant_1,CMP0005,Brake Sensor,Supplier_C,2026-07-21,NO_SIG,No Signal,High,91.3,Fail,Check wiring and connector
INS0139,V0029,MODEL_C,Plant_3,CMP0226,Temperature Sensor,Supplier_C,2026-07-01,TEMP_DRIFT,Signal Drift,Medium,109.61,Fail,Perform sensor calibration
INS0140,V0127,MODEL_B,Plant_1,CMP0067,Brake Sensor,Supplier_A,2026-03-11,SIG_ERR,Signal Error,High,50.8,Fail,Inspect sensor connection
INS0141,V0273,MODEL_C,Plant_3,CMP0077,Brake Sensor,Supplier_A,2026-06-03,CAL_ERR,Calibration Error,Low,56.08,Fail,Recalibrate sensor
INS0142,V0252,MODEL_A,Plant_2,CMP0189,Brake Sensor,Supplier_B,2026-03-20,CAL_ERR,Calibration Error,Medium,48.01,Fail,Recalibrate sensor
INS0143,V0379,MODEL_C,Plant_3,CMP0231,Temperature Sensor,Supplier_B,2026-06-05,TEMP_INV,Invalid Reading,Low,27.38,Fail,Replace or recalibrate sensor
INS0144,V0070,MODEL_C,Plant_1,CMP0162,Temperature Sensor,Supplier_A,2026-05-16,TEMP_INV,Invalid Reading,High,50.55,Fail,Replace or recalibrate sensor
INS0145,V0358,MODEL_B,Plant_1,CMP0046,Temperature Sensor,Supplier_B,2026-02-02,TEMP_DRIFT,Signal Drift,Low,26.21,Fail,Perform sensor calibration
INS0146,V0060,MODEL_A,Plant_3,CMP0103,Temperature Sensor,Supplier_C,2026-02-14,NO_SIG,No Signal,High,-13.0,Fail,Check wiring and connector
INS0147,V0003,MODEL_A,Plant_2,CMP0113,Temperature Sensor,Supplier_C,2026-04-19,NO_SIG,No Signal,Medium,103.8,Fail,Check wiring and connector
INS0148,V0138,MODEL_C,Plant_3,CMP0266,Battery,Supplier_C,2026-06-10,BAT_TEMP,Overheating,Medium,36.81,Fail,Inspect cooling system
INS0149,V0129,MODEL_A,Plant_3,CMP0294,Brake Sensor,Supplier_A,2026-02-05,SIG_ERR,Signal Error,Low,32.98,Fail,Inspect sensor connection
INS0150,V0128,MODEL_B,Plant_3,CMP0026,Battery,Supplier_B,2026-03-18,BAT_TEMP,Overheating,Medium,79.93,Fail,Inspect cooling system
INS0151,V0479,MODEL_C,Plant_3,CMP0124,Brake Sensor,Supplier_A,2026-04-13,SIG_ERR,Signal Error,Medium,13.9,Fail,Inspect sensor connection
INS0152,V0491,MODEL_A,Plant_2,CMP0065,Battery,Supplier_C,2026-05-12,,Voltage Drop,Medium,36.42,Fail,Check battery voltage
INS0153,V0372,MODEL_C,Plant_2,CMP0289,Temperature Sensor,Supplier_B,2026-05-28,TEMP_DRIFT,Signal Drift,High,-7.25,Fail,Perform sensor calibration
INS0154,V0155,MODEL_C,Plant_1,CMP0028,Brake Sensor,Supplier_C,2026-02-26,CAL_ERR,Calibration Error,High,30.11,Fail,Recalibrate sensor
INS0155,V0141,MODEL_C,Plant_1,CMP0129,Temperature Sensor,Supplier_C,2026-02-25,TEMP_INV,Invalid Reading,Medium,4.52,Fail,Replace or recalibrate sensor
INS0156,V0363,MODEL_A,Plant_3,CMP0192,Temperature Sensor,Supplier_B,2026-02-02,NO_SIG,No Signal,Medium,16.64,Fail,Check wiring and connector
INS0157,V0260,MODEL_C,Plant_3,CMP0016,Battery,Supplier_C,2026-05-23,BAT_CELL,Cell Imbalance,High,41.79,Fail,Inspect battery cells
INS0158,V0468,MODEL_C,Plant_1,CMP0111,Temperature Sensor,Supplier_B,2026-02-09,TEMP_DRIFT,Signal Drift,Low,75.54,Fail,Perform sensor calibration
INS0159,V0435,MODEL_B,Plant_2,CMP0208,Brake Sensor,Supplier_B,2026-02-10,CAL_ERR,Calibration Error,Low,88.86,Fail,Recalibrate sensor
INS0160,V0410,MODEL_C,Plant_3,CMP0005,Battery,Supplier_C,2026-06-20,BAT_TEMP,Overheating,High,36.19,Fail,Inspect cooling system
INS0161,V0483,MODEL_A,Plant_2,CMP0016,Temperature Sensor,Supplier_A,2026-07-11,NO_SIG,No Signal,High,-1.44,Fail,Check wiring and connector
INS0162,V0210,MODEL_B,Plant_3,CMP0237,Brake Sensor,Supplier_C,2026-08-27,NO_SIG,No Signal,Medium,42.23,Fail,Check wiring and connector
INS0163,V0358,MODEL_A,Plant_1,CMP0057,Battery,Supplier_A,2026-06-15,BAT_VOLT,Voltage Drop,High,66.75,Fail,Check battery voltage
INS0164,V0139,MODEL_C,Plant_3,CMP0183,Temperature Sensor,Supplier_A,2026-04-02,NO_SIG,No Signal,High,51.13,Fail,Check wiring and connector
